,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CARGOS,SIGLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AÇOUGUEIRO 1,AÇ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AÇOUGUEIRO 2,AÇ2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,AÇOUGUEIRO 3,AÇ3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ADMINISTRADOR,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ATEND PADARIA 1,ATP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ATEND PADARIA 2,ATP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ATEND PADARIA 3,ATP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ATEND PADARIA 4,ATP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,CAIXA 1,CAI1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,CAIXA 2,CAI2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,CAIXA 3,CAI3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,CAIXA 4,CAI4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,CAIXA 5,CAI5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,COMPRADOR 1,COM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,COMPRADOR 2,COM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,CONFEITEIRO,CFEIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,CONFERENTE,CFER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,CONTAS A PAGAR,CPAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,COZINHEIRA 1,COZ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,COZINHEIRA 2,COZ2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,COZINHEIRA 3,COZ3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,DOCEIRA(O),DOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,EMBALADOR 1,EMB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,EMBALADOR 2,EMB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,EMBALADOR 3,EMB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,EMBALADOR 4,EMB4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,ENCARREGADO AÇOUGUE,EAÇO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ENCARREGADO PAD,ENCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ENCARREGADO PERECÍVEIS,ENCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,ENCARREGADO REP,EREP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,ESCRITURADOR DE NOTAS,ENF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,FAXINEIRA,FAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,FINANCEIRO,FINAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,GERENTE LOJA,GLOJA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,MKT,MKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,MOTORISTA 1,MOT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,MOTORISTA 2,MOT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
