,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL FUNC,,,31.88636364,,,,,,,,,,,,,,,,,,,,,,,,,
,05:00:00,05:30:00,06:00:00,06:30:00,07:00:00,07:30:00,08:00:00,08:30:00,09:00:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,17:00:00,17:30:00,18:00:00,18:30:00,19:00:00,19:30:00,TOTAL HS,MÉDIA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPÓSITO,Número de Funcionários necessário:,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
SEG,,,,,2,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,,,,,,,18:00:00,09:00:00,
TER,,,,,2,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,,,,,,,18:00:00,09:00:00,
QUA,,,,,2,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,,,,,,,18:00:00,09:00:00,
QUI,,,,,2,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,,,,,,,18:00:00,09:00:00,
SEX,,,,,,,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,,,,,,,16:00:00,08:00:00,
SAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,00:00:00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88:00:00,44:00:00,
MARKETING,Número de Funcionários necessário:,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
SEG,,,,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,,,09:00:00,09:00:00,
TER,,,,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,,,09:00:00,09:00:00,
QUA,,,,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,,,09:00:00,09:00:00,
QUI,,,,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,,,09:00:00,09:00:00,
SEX,,,,,,,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,,,08:00:00,08:00:00,
SAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,00:00:00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44:00:00,44:00:00,
ESCRITORIO,Número de Funcionários necessário:,,,,,,,3.30681818,,,,,,,,,,,,,,,,,,,,,,,,,
SEG,,,,,1,1,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,3,3,3,,,,,29:30:00,08:55:15,
TER,,,,,1,1,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,3,3,3,,,,,29:30:00,08:55:15,
QUA,,,,,1,1,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,3,3,3,,,,,29:30:00,08:55:15,
QUI,,,,,1,1,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,3,3,2,,,,,29:00:00,08:46:11,
SEX,,,,,1,1,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,3,3,3,3,2,,,,,28:00:00,08:28:02,
SAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,00:00:00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145:30:00,44:00:00,
LIMPEZA,Número de Funcionários necessário:,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
SEG,,,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,,,,,,,,,,,07:00:00,07:00:00,
TER,,,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,,,,,,,,,,,07:00:00,07:00:00,
QUA,,,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,,,,,,,,,,,07:00:00,07:00:00,
QUI,,,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,,,,,,,,,,,07:00:00,07:00:00,
SEX,,,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,,,,,,,,,,,07:00:00,07:00:00,
SAB,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,,,,,,,,,09:00:00,09:00:00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44:00:00,44:00:00,
CAIXAS,Número de Funcionários necessário:,,,,,,,4.27272727,,,,,,,,,,,,,,,,,,,,,,,,,
SEG,,,,,,,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,2,,28:00:00,06:33:11,
