employee_id,week_start,worked_minutes,day_count,target_minutes,delta_minutes,week_mode
ALI,2026-02-02,270,1,1800,-1530,MON_SUN
ANJ,2026-02-02,0,1,2640,-2640,MON_SUN
CLE,2026-02-02,270,1,2640,-2370,MON_SUN
GAB,2026-02-02,270,1,2160,-1890,MON_SUN
HEL,2026-02-02,0,1,1800,-1800,MON_SUN
MAY,2026-02-02,0,1,1800,-1800,MON_SUN
ALI,2026-02-09,1530,7,1800,-270,MON_SUN
ANJ,2026-02-09,2910,7,2640,270,MON_SUN
CLE,2026-02-09,2370,7,2640,-270,MON_SUN
GAB,2026-02-09,2160,7,2160,0,MON_SUN
HEL,2026-02-09,1800,7,1800,0,MON_SUN
MAY,2026-02-09,2070,7,1800,270,MON_SUN
ALI,2026-02-16,2070,7,1800,270,MON_SUN
ANJ,2026-02-16,2370,7,2640,-270,MON_SUN
CLE,2026-02-16,2640,7,2640,0,MON_SUN
GAB,2026-02-16,1890,7,2160,-270,MON_SUN
HEL,2026-02-16,2190,7,1800,390,MON_SUN
MAY,2026-02-16,1800,7,1800,0,MON_SUN
ALI,2026-02-23,1530,7,1800,-270,MON_SUN
ANJ,2026-02-23,2910,7,2640,270,MON_SUN
CLE,2026-02-23,2640,7,2640,0,MON_SUN
GAB,2026-02-23,2430,7,2160,270,MON_SUN
HEL,2026-02-23,1800,7,1800,0,MON_SUN
MAY,2026-02-23,1650,7,1800,-150,MON_SUN
ALI,2026-03-02,2070,7,1800,270,MON_SUN
ANJ,2026-03-02,2430,7,2640,-210,MON_SUN
CLE,2026-03-02,2910,7,2640,270,MON_SUN
GAB,2026-03-02,1890,7,2160,-270,MON_SUN
HEL,2026-03-02,1530,7,1800,-270,MON_SUN
MAY,2026-03-02,2070,7,1800,270,MON_SUN
ALI,2026-03-09,1800,7,1800,0,MON_SUN
ANJ,2026-03-09,2910,7,2640,270,MON_SUN
CLE,2026-03-09,2370,7,2640,-270,MON_SUN
GAB,2026-03-09,2160,7,2160,0,MON_SUN
HEL,2026-03-09,2070,7,1800,270,MON_SUN
MAY,2026-03-09,1530,7,1800,-270,MON_SUN
ALI,2026-03-16,1530,7,1800,-270,MON_SUN
ANJ,2026-03-16,2640,7,2640,0,MON_SUN
CLE,2026-03-16,2640,7,2640,0,MON_SUN
GAB,2026-03-16,2430,7,2160,270,MON_SUN
HEL,2026-03-16,1530,7,1800,-270,MON_SUN
MAY,2026-03-16,2070,7,1800,270,MON_SUN
ALI,2026-03-23,2070,7,1800,270,MON_SUN
ANJ,2026-03-23,2370,7,2640,-270,MON_SUN
CLE,2026-03-23,2640,7,2640,0,MON_SUN
GAB,2026-03-23,1890,7,2160,-270,MON_SUN
HEL,2026-03-23,2070,7,1800,270,MON_SUN
MAY,2026-03-23,1800,7,1800,0,MON_SUN
ALI,2026-03-30,660,2,1800,-1140,MON_SUN
ANJ,2026-03-30,750,2,2640,-1890,MON_SUN
CLE,2026-03-30,930,2,2640,-1710,MON_SUN
GAB,2026-03-30,630,2,2160,-1530,MON_SUN
HEL,2026-03-30,660,2,1800,-1140,MON_SUN
MAY,2026-03-30,600,2,1800,-1200,MON_SUN
